order_id,shipping_mode,distance_km,scheduled_days,actual_days,order_value,items,traffic_level,customer_region,late_delivery
10001,First Class,49.4,1.0,2,4437.24,7,Medium,East,1
10002,Same Day,15.3,3.0,4,2364.75,3,Low,South,1
10003,Standard Class,7.1,2.0,1,3885.76,1,Medium,East,0
10004,First Class,76.0,3.0,6,3892.8,1,High,West,1
10005,First Class,77.3,1.0,1,3330.7,4,Medium,North,0
10006,Same Day,,1.0,1,769.17,3,Medium,North,0
10007,Standard Class,25.8,2.0,1,5052.99,3,High,West,0
10008,Standard Class,9.6,3.0,3,2094.49,6,Medium,North,0
10009,First Class,55.4,3.0,6,1322.48,7,Medium,West,1
10010,Second Class,36.3,2.0,1,484.46,6,High,West,0
10011,First Class,11.5,3.0,4,3647.63,6,Medium,West,1
10012,First Class,40.6,3.0,5,4146.0,6,High,North,1
10013,First Class,4.7,1.0,1,345.38,6,Medium,East,0
10014,First Class,72.9,3.0,3,3194.54,6,High,West,0
10015,Same Day,22.2,3.0,6,,5,High,South,1
10016,Standard Class,53.7,2.0,3,3959.74,3,Medium,North,1
10017,Same Day,26.3,2.0,1,1252.61,6,Medium,West,0
10018,Same Day,42.6,4.0,6,4222.89,3,Medium,West,1
10019,Same Day,44.6,1.0,5,2473.73,3,Low,South,1
10020,First Class,16.4,3.0,1,5636.2,2,Low,East,0
10021,Second Class,77.6,3.0,3,1040.75,5,Low,East,0
10022,Standard Class,62.5,4.0,2,2211.13,6,,East,0
10023,Second Class,75.3,3.0,4,902.47,1,Medium,West,1
10024,Same Day,71.8,1.0,3,5566.99,4,High,West,1
10025,Same Day,48.6,4.0,6,5294.7,7,Low,West,1
10026,Second Class,73.9,1.0,1,1733.16,1,Medium,North,0
10027,Second Class,8.9,4.0,4,4044.91,5,High,South,0
10028,Second Class,17.3,4.0,1,4949.03,4,Medium,West,0
10029,Same Day,5.5,2.0,6,3442.4,5,High,South,1
10030,Same Day,27.4,1.0,1,3295.49,3,Medium,South,0
10031,Standard Class,450.0,3.0,2,1640.65,4,Low,East,0
10032,Standard Class,23.2,3.0,4,785.34,3,Low,North,1
10033,Same Day,66.6,1.0,4,5408.99,1,Medium,West,1
10034,Second Class,29.8,3.0,6,5427.4,1,High,East,1
10035,Second Class,23.9,3.0,2,3890.33,4,Low,East,0
10036,Standard Class,44.3,1.0,3,2199.42,4,Low,West,1
10037,Same Day,13.0,4.0,1,2257.96,6,Low,South,0
10038,Standard Class,64.6,1.0,5,4424.25,0,Medium,East,1
10039,Standard Class,7.8,4.0,1,5408.38,6,Medium,South,0
10040,First Class,79.0,3.0,1,5350.75,5,High,North,0
10041,First Class,62.2,3.0,3,4734.28,6,High,South,0
10042,First Class,17.5,3.0,1,3941.68,3,High,North,0
10043,Second Class,2.4,2.0,2,733.8,4,Medium,South,0
10044,Same Day,65.6,4.0,2,1179.37,1,Medium,East,0
10045,Same Day,57.1,2.0,4,5416.69,5,High,East,1
10046,Same Day,58.9,2.0,6,3736.97,5,High,North,1
10047,Same Day,62.2,1.0,5,302.88,1,Medium,West,1
10048,First Class,7.8,2.0,1,833.46,6,High,North,0
10049,Second Class,30.0,,1,4065.14,5,Low,North,0
10050,Second Class,11.0,1.0,3,279.1,7,Medium,South,1
10051,First Class,69.3,2.0,6,1174.65,3,High,South,1
10052,Second Class,50.6,4.0,2,3405.22,4,Medium,North,0
10053,First Class,27.8,4.0,5,4228.4,1,Low,East,1
10054,Same Day,7.0,4.0,4,3998.78,4,Medium,South,0
10055,First Class,26.3,4.0,2,1539.55,7,Medium,West,0
10056,Same Day,27.4,4.0,6,4345.03,5,Medium,Unknown,1
10057,Same Day,58.9,2.0,4,1614.18,5,Medium,South,1
10058,Standard Class,51.7,2.0,3,2121.05,7,Low,West,1
10059,First Class,71.2,3.0,3,4542.33,1,Medium,North,0
10060,Standard Class,38.8,4.0,1,3985.39,3,Medium,West,0
10011,First Class,11.5,3.0,4,3647.63,6,Medium,West,1
